transaction_id,items
T0082,"Lettuce,Tomatoes,Onions,Carrots"
T0083,"Milk,Cereal,Bananas"
T0084,"Chicken,Rice,Beans"
T0085,"Apples,Bananas,Oranges"
T0086,"Pasta,Tomatoes,Cheese"
T0087,"Ground Beef,Tortillas,Salsa,Cheese"
T0088,"Coffee,Sugar"
T0089,"Shampoo,Soap,Toothpaste"
T0090,"Frozen Pizza,Chips"
T0091,"Lettuce,Tomatoes,Onions,Carrots"
T0092,"Milk,Cereal,Bananas"
T0093,"Chicken,Rice,Beans"
T0094,"Apples,Bananas,Oranges"
T0095,"Pasta,Tomatoes,Cheese"
T0096,"Ground Beef,Tortillas,Salsa,Cheese"
T0097,"Coffee,Sugar"
T0098,"Shampoo,Soap,Toothpaste"
T0099,"Frozen Pizza,Chips"
T0100,"Lettuce,Tomatoes,Onions,Carrots"
T0101,"Milk,Cereal,Bananas"
T0102,"Chicken,Rice,Beans"
T0103,"Apples,Bananas,Oranges"
T0104,"Pasta,Tomatoes,Cheese"
T0105,"Ground Beef,Tortillas,Salsa,Cheese"
T0106,"Coffee,Sugar"
T0107,"Shampoo,Soap,Toothpaste"
T0108,"Frozen Pizza,Chips"
T0109,"Lettuce,Tomatoes,Onions,Carrots"
T0110,"Milk,Cereal,Bananas"
T0111,"Chicken,Rice,Beans"
T0112,"Apples,Bananas,Oranges"
T0113,"Pasta,Tomatoes,Cheese"
T0114,"Ground Beef,Tortillas,Salsa,Cheese"
T0115,"Coffee,Sugar"
T0116,"Shampoo,Soap,Toothpaste"
T0117,"Frozen Pizza,Chips"
T0118,"Lettuce,Tomatoes,Onions,Carrots"
T0119,"Milk,Cereal,Bananas"
T0120,"Chicken,Rice,Beans"
T0121,"Apples,Bananas,Oranges"
T0122,"Pasta,Tomatoes,Cheese"
T0123,"Ground Beef,Tortillas,Salsa,Cheese"
T0124,"Coffee,Sugar"
T0125,"Shampoo,Soap,Toothpaste"
T0126,"Frozen Pizza,Chips"
T0127,"Lettuce,Tomatoes,Onions,Carrots"
T0128,"Milk,Cereal,Bananas"
T0129,"Chicken,Rice,Beans"
T0130,"Apples,Bananas,Oranges"
T0131,"Pasta,Tomatoes,Cheese"
T0132,"Ground Beef,Tortillas,Salsa,Cheese"
T0133,"Coffee,Sugar"
T0134,"Shampoo,Soap,Toothpaste"
T0135,"Frozen Pizza,Chips"
T0136,"Lettuce,Tomatoes,Onions,Carrots"
T0137,"Milk,Cereal,Bananas"
T0138,"Chicken,Rice,Beans"
T0139,"Apples,Bananas,Oranges"
T0140,"Pasta,Tomatoes,Cheese"
T0141,"Ground Beef,Tortillas,Salsa,Cheese"
T0142,"Coffee,Sugar"
T0143,"Shampoo,Soap,Toothpaste"
T0144,"Frozen Pizza,Chips"
T0145,"Lettuce,Tomatoes,Onions,Carrots"
T0146,"Milk,Cereal,Bananas"
T0147,"Chicken,Rice,Beans"
T0148,"Apples,Bananas,Oranges"
T0149,"Pasta,Tomatoes,Cheese"
T0150,"Ground Beef,Tortillas,Salsa,Cheese"
T0151,"Coffee,Sugar"
T0152,"Shampoo,Soap,Toothpaste"
T0153,"Frozen Pizza,Chips"
T0154,"Lettuce,Tomatoes,Onions,Carrots"
T0155,"Milk,Cereal,Bananas"
T0156,"Chicken,Rice,Beans"
T0157,"Apples,Bananas,Oranges"
T0158,"Pasta,Tomatoes,Cheese"
T0159,"Ground Beef,Tortillas,Salsa,Cheese"
T0160,"Coffee,Sugar"
T0161,"Shampoo,Soap,Toothpaste"
T0162,"Frozen Pizza,Chips"
T0163,"Lettuce,Tomatoes,Onions,Carrots"
T0164,"Milk,Cereal,Bananas"
T0165,"Chicken,Rice,Beans"
T0166,"Apples,Bananas,Oranges"
T0167,"Pasta,Tomatoes,Cheese"
T0168,"Ground Beef,Tortillas,Salsa,Cheese"
T0169,"Coffee,Sugar"
T0170,"Shampoo,Soap,Toothpaste"
T0171,"Frozen Pizza,Chips"
T0172,"Lettuce,Tomatoes,Onions,Carrots"
T0173,"Milk,Cereal,Bananas"
T0174,"Chicken,Rice,Beans"
T0175,"Apples,Bananas,Oranges"
T0176,"Pasta,Tomatoes,Cheese"
T0177,"Ground Beef,Tortillas,Salsa,Cheese"
T0178,"Coffee,Sugar"
T0179,"Shampoo,Soap,Toothpaste"
T0180,"Frozen Pizza,Chips"
T0181,"Lettuce,Tomatoes,Onions,Carrots"
T0182,"Milk,Cereal,Bananas"
T0183,"Chicken,Rice,Beans"
T0184,"Apples,Bananas,Oranges"
T0185,"Pasta,Tomatoes,Cheese"
T0186,"Ground Beef,Tortillas,Salsa,Cheese"
T0187,"Coffee,Sugar"
T0188,"Shampoo,Soap,Toothpaste"
T0189,"Frozen Pizza,Chips"
T0190,"Lettuce,Tomatoes,Onions,Carrots"
T0191,"Milk,Cereal,Bananas"
T0192,"Chicken,Rice,Beans"
T0193,"Apples,Bananas,Oranges"
T0194,"Pasta,Tomatoes,Cheese"
T0195,"Ground Beef,Tortillas,Salsa,Cheese"
T0196,"Coffee,Sugar"
T0197,"Shampoo,Soap,Toothpaste"
T0198,"Frozen Pizza,Chips"
T0199,"Lettuce,Tomatoes,Onions,Carrots"
T0200,"Milk,Cereal,Bananas"
T0201,"Chicken,Rice,Beans"
T0202,"Apples,Bananas,Oranges"
T0203,"Pasta,Tomatoes,Cheese"
T0204,"Ground Beef,Tortillas,Salsa,Cheese"
T0205,"Coffee,Sugar"
T0206,"Shampoo,Soap,Toothpaste"
T0207,"Frozen Pizza,Chips"
T0208,"Lettuce,Tomatoes,Onions,Carrots"
T0209,"Milk,Cereal,Bananas"
T0210,"Chicken,Rice,Beans"
T0211,"Apples,Bananas,Oranges"
T0212,"Pasta,Tomatoes,Cheese"
T0213,"Ground Beef,Tortillas,Salsa,Cheese"
T0214,"Coffee,Sugar"
T0215,"Shampoo,Soap,Toothpaste"
T0216,"Frozen Pizza,Chips"
T0217,"Lettuce,Tomatoes,Onions,Carrots"
T0218,"Milk,Cereal,Bananas"
T0219,"Chicken,Rice,Beans"
T0220,"Apples,Bananas,Oranges"
T0221,"Pasta,Tomatoes,Cheese"
T0222,"Ground Beef,Tortillas,Salsa,Cheese"
T0223,"Coffee,Sugar"
T0224,"Shampoo,Soap,Toothpaste"
T0225,"Frozen Pizza,Chips"
T0226,"Lettuce,Tomatoes,Onions,Carrots"
T0227,"Milk,Cereal,Bananas"
T0228,"Chicken,Rice,Beans"
T0229,"Apples,Bananas,Oranges"
T0230,"Pasta,Tomatoes,Cheese"
T0231,"Ground Beef,Tortillas,Salsa,Cheese"
T0232,"Coffee,Sugar"
T0233,"Shampoo,Soap,Toothpaste"
T0234,"Frozen Pizza,Chips"
T0235,"Lettuce,Tomatoes,Onions,Carrots"
T0236,"Milk,Cereal,Bananas"
T0237,"Chicken,Rice,Beans"
T0238,"Apples,Bananas,Oranges"
T0239,"Pasta,Tomatoes,Cheese"
T0240,"Ground Beef,Tortillas,Salsa,Cheese"
T0241,"Coffee,Sugar"
T0242,"Shampoo,Soap,Toothpaste"
T0243,"Frozen Pizza,Chips"
T0244,"Lettuce,Tomatoes,Onions,Carrots"
T0245,"Milk,Cereal,Bananas"
T0246,"Chicken,Rice,Beans"
T0247,"Apples,Bananas,Oranges"
T0248,"Pasta,Tomatoes,Cheese"
T0249,"Ground Beef,Tortillas,Salsa,Cheese"
T0250,"Coffee,Sugar"
T0251,"Shampoo,Soap,Toothpaste"
T0252,"Frozen Pizza,Chips"
T0253,"Lettuce,Tomatoes,Onions,Carrots"
T0254,"Milk,Cereal,Bananas"
T0255,"Chicken,Rice,Beans"
T0256,"Apples,Bananas,Oranges"
T0257,"Pasta,Tomatoes,Cheese"
T0258,"Ground Beef,Tortillas,Salsa,Cheese"
T0259,"Coffee,Sugar"
T0260,"Shampoo,Soap,Toothpaste"
T0261,"Frozen Pizza,Chips"
T0262,"Lettuce,Tomatoes,Onions,Carrots"
T0263,"Milk,Cereal,Bananas"
T0264,"Chicken,Rice,Beans"
T0265,"Apples,Bananas,Oranges"
T0266,"Pasta,Tomatoes,Cheese"
T0267,"Ground Beef,Tortillas,Salsa,Cheese"
T0268,"Coffee,Sugar"
T0269,"Shampoo,Soap,Toothpaste"
T0270,"Frozen Pizza,Chips"
T0271,"Lettuce,Tomatoes,Onions,Carrots"
T0272,"Milk,Cereal,Bananas"
T0273,"Chicken,Rice,Beans"
T0274,"Apples,Bananas,Oranges"
T0275,"Pasta,Tomatoes,Cheese"
T0276,"Ground Beef,Tortillas,Salsa,Cheese"
T0277,"Coffee,Sugar"
T0278,"Shampoo,Soap,Toothpaste"
T0279,"Frozen Pizza,Chips"
T0280,"Lettuce,Tomatoes,Onions,Carrots"
T0281,"Milk,Cereal,Bananas"
T0282,"Chicken,Rice,Beans"
T0283,"Apples,Bananas,Oranges"
T0284,"Pasta,Tomatoes,Cheese"
T0285,"Ground Beef,Tortillas,Salsa,Cheese"
T0286,"Coffee,Sugar"
T0287,"Shampoo,Soap,Toothpaste"
T0288,"Frozen Pizza,Chips"
T0289,"Lettuce,Tomatoes,Onions,Carrots"
T0290,"Milk,Cereal,Bananas"
T0291,"Chicken,Rice,Beans"
T0292,"Apples,Bananas,Oranges"
T0293,"Pasta,Tomatoes,Cheese"
T0294,"Ground Beef,Tortillas,Salsa,Cheese"
T0295,"Coffee,Sugar"
T0296,"Shampoo,Soap,Toothpaste"
T0297,"Frozen Pizza,Chips"
T0298,"Lettuce,Tomatoes,Onions,Carrots"
T0299,"Milk,Cereal,Bananas"
T0300,"Chicken,Rice,Beans"
T0301,"Milk,Cereal,Bananas"
T0302,"Chicken,Rice,Beans"
T0303,"Apples,Bananas,Oranges"
T0304,"Pasta,Tomatoes,Cheese"
T0305,"Ground Beef,Tortillas,Salsa,Cheese"
T0306,"Coffee,Sugar"
T0307,"Shampoo,Soap,Toothpaste"
T0308,"Frozen Pizza,Chips"
T0309,"Lettuce,Tomatoes,Onions,Carrots"
T0310,"Milk,Cereal,Bananas,Yogurt"
T0311,"Chicken,Rice,Beans,Spinach"
T0312,"Apples,Bananas,Oranges,Grapes"
T0313,"Pasta,Tomatoes,Cheese,Bread"
T0314,"Ground Beef,Tortillas,Salsa,Cheese,Onions"
T0315,"Coffee,Sugar,Milk"
T0316,"Shampoo,Soap,Toothpaste"
T0317,"Frozen Pizza,Chips,Ice Cream"
T0318,"Lettuce,Tomatoes,Onions,Carrots,Potatoes"
T0319,"Milk,Cereal,Bananas"
T0320,"Chicken,Rice,Beans"
T0321,"Apples,Bananas,Oranges"
T0322,"Pasta,Tomatoes,Cheese"
T0323,"Ground Beef,Tortillas,Salsa,Cheese"
T0324,"Coffee,Sugar"
T0325,"Shampoo,Soap,Toothpaste"
T0326,"Frozen Pizza,Chips"
T0327,"Lettuce,Tomatoes,Onions,Carrots"
T0328,"Milk,Cereal,Bananas"
T0329,"Chicken,Rice,Beans"
T0330,"Apples,Bananas,Oranges"
T0331,"Pasta,Tomatoes,Cheese"
T0332,"Ground Beef,Tortillas,Salsa,Cheese"
T0333,"Coffee,Sugar"
T0334,"Shampoo,Soap,Toothpaste"
T0335,"Frozen Pizza,Chips"
T0336,"Lettuce,Tomatoes,Onions,Carrots"
T0337,"Milk,Cereal,Bananas"
T0338,"Chicken,Rice,Beans"
T0339,"Apples,Bananas,Oranges"
T0340,"Pasta,Tomatoes,Cheese"
T0341,"Ground Beef,Tortillas,Salsa,Cheese"
T0342,"Coffee,Sugar"
T0343,"Shampoo,Soap,Toothpaste"
T0344,"Frozen Pizza,Chips"
T0345,"Lettuce,Tomatoes,Onions,Carrots"
T0346,"Milk,Cereal,Bananas"
T0347,"Chicken,Rice,Beans"
T0348,"Apples,Bananas,Oranges"
T0349,"Pasta,Tomatoes,Cheese"
T0350,"Ground Beef,Tortillas,Salsa,Cheese"
T0351,"Coffee,Sugar"
T0352,"Shampoo,Soap,Toothpaste"
T0353,"Frozen Pizza,Chips"
T0354,"Lettuce,Tomatoes,Onions,Carrots"
T0355,"Milk,Cereal,Bananas"
T0356,"Chicken,Rice,Beans"
T0357,"Apples,Bananas,Oranges"
T0358,"Pasta,Tomatoes,Cheese"
T0359,"Ground Beef,Tortillas,Salsa,Cheese"
T0360,"Coffee,Sugar"
T0361,"Shampoo,Soap,Toothpaste"
T0362,"Frozen Pizza,Chips"
T0363,"Lettuce,Tomatoes,Onions,Carrots"
T0364,"Milk,Cereal,Bananas"
T0365,"Chicken,Rice,Beans"
T0366,"Apples,Bananas,Oranges"
T0367,"Pasta,Tomatoes,Cheese"
T0368,"Ground Beef,Tortillas,Salsa,Cheese"
T0369,"Coffee,Sugar"
T0370,"Shampoo,Soap,Toothpaste"
T0371,"Frozen Pizza,Chips"
T0372,"Lettuce,Tomatoes,Onions,Carrots"
T0373,"Milk,Cereal,Bananas"
T0374,"Chicken,Rice,Beans"
T0375,"Apples,Bananas,Oranges"
T0376,"Pasta,Tomatoes,Cheese"
T0377,"Ground Beef,Tortillas,Salsa,Cheese"
T0378,"Coffee,Sugar"
T0379,"Shampoo,Soap,Toothpaste"
T0380,"Frozen Pizza,Chips"
T0381,"Lettuce,Tomatoes,Onions,Carrots"
T0382,"Milk,Cereal,Bananas"
T0383,"Chicken,Rice,Beans"
T0384,"Apples,Bananas,Oranges"
T0385,"Pasta,Tomatoes,Cheese"
T0386,"Ground Beef,Tortillas,Salsa,Cheese"
T0387,"Coffee,Sugar"
T0388,"Shampoo,Soap,Toothpaste"
T0389,"Frozen Pizza,Chips"
T0390,"Lettuce,Tomatoes,Onions,Carrots"
T0391,"Milk,Cereal,Bananas"
T0392,"Chicken,Rice,Beans"
T0393,"Apples,Bananas,Oranges"
T0394,"Pasta,Tomatoes,Cheese"
T0395,"Ground Beef,Tortillas,Salsa,Cheese"
T0396,"Coffee,Sugar"
T0397,"Shampoo,Soap,Toothpaste"
T0398,"Frozen Pizza,Chips"
T0399,"Lettuce,Tomatoes,Onions,Carrots"
T0400,"Milk,Cereal,Bananas"
T0401,"Chicken,Rice,Beans"
T0402,"Apples,Bananas,Oranges"
T0403,"Pasta,Tomatoes,Cheese"
T0404,"Ground Beef,Tortillas,Salsa,Cheese"
T0405,"Coffee,Sugar"
T0406,"Shampoo,Soap,Toothpaste"
T0407,"Frozen Pizza,Chips"
T0408,"Lettuce,Tomatoes,Onions,Carrots"
T0409,"Milk,Cereal,Bananas"
T0410,"Chicken,Rice,Beans"
T0411,"Apples,Bananas,Oranges"
T0412,"Pasta,Tomatoes,Cheese"
T0413,"Ground Beef,Tortillas,Salsa,Cheese"
T0414,"Coffee,Sugar"
T0415,"Shampoo,Soap,Toothpaste"
T0416,"Frozen Pizza,Chips"
T0417,"Lettuce,Tomatoes,Onions,Carrots"
T0418,"Milk,Cereal,Bananas"
T0419,"Chicken,Rice,Beans"
T0420,"Apples,Bananas,Oranges"
T0421,"Pasta,Tomatoes,Cheese"
T0422,"Ground Beef,Tortillas,Salsa,Cheese"
T0423,"Coffee,Sugar"
T0424,"Shampoo,Soap,Toothpaste"
T0425,"Frozen Pizza,Chips"
T0426,"Lettuce,Tomatoes,Onions,Carrots"
T0427,"Milk,Cereal,Bananas"
T0428,"Chicken,Rice,Beans"
T0429,"Apples,Bananas,Oranges"
T0430,"Pasta,Tomatoes,Cheese"
T0431,"Ground Beef,Tortillas,Salsa,Cheese"
T0432,"Coffee,Sugar"
T0433,"Shampoo,Soap,Toothpaste"
T0434,"Frozen Pizza,Chips"
T0435,"Lettuce,Tomatoes,Onions,Carrots"
T0436,"Milk,Cereal,Bananas"
T0437,"Chicken,Rice,Beans"
T0438,"Apples,Bananas,Oranges"
T0439,"Pasta,Tomatoes,Cheese"
T0440,"Ground Beef,Tortillas,Salsa,Cheese"
T0441,"Coffee,Sugar"
T0442,"Shampoo,Soap,Toothpaste"
T0443,"Frozen Pizza,Chips"
T0444,"Lettuce,Tomatoes,Onions,Carrots"
T0445,"Milk,Cereal,Bananas"
T0446,"Chicken,Rice,Beans"
T0447,"Apples,Bananas,Oranges"
T0448,"Pasta,Tomatoes,Cheese"
T0449,"Ground Beef,Tortillas,Salsa,Cheese"
T0450,"Coffee,Sugar"
T0451,"Shampoo,Soap,Toothpaste"
T0452,"Frozen Pizza,Chips"
T0453,"Lettuce,Tomatoes,Onions,Carrots"
T0454,"Milk,Cereal,Bananas"
T0455,"Chicken,Rice,Beans"
T0456,"Apples,Bananas,Oranges"
T0457,"Pasta,Tomatoes,Cheese"
T0458,"Ground Beef,Tortillas,Salsa,Cheese"
T0459,"Coffee,Sugar"
T0460,"Shampoo,Soap,Toothpaste"
T0461,"Frozen Pizza,Chips"
T0462,"Lettuce,Tomatoes,Onions,Carrots"
T0463,"Milk,Cereal,Bananas"
T0464,"Chicken,Rice,Beans"
T0465,"Apples,Bananas,Oranges"
T0466,"Pasta,Tomatoes,Cheese"
T0467,"Ground Beef,Tortillas,Salsa,Cheese"
T0468,"Coffee,Sugar"
T0469,"Shampoo,Soap,Toothpaste"
T0470,"Frozen Pizza,Chips"
T0471,"Lettuce,Tomatoes,Onions,Carrots"
T0472,"Milk,Cereal,Bananas"
T0473,"Chicken,Rice,Beans"
T0474,"Apples,Bananas,Oranges"
T0475,"Pasta,Tomatoes,Cheese"
T0476,"Ground Beef,Tortillas,Salsa,Cheese"
T0477,"Coffee,Sugar"
T0478,"Shampoo,Soap,Toothpaste"
T0479,"Frozen Pizza,Chips"
T0480,"Lettuce,Tomatoes,Onions,Carrots"
T0481,"Milk,Cereal,Bananas"
T0482,"Chicken,Rice,Beans"
T0483,"Apples,Bananas,Oranges"
T0484,"Pasta,Tomatoes,Cheese"
T0485,"Ground Beef,Tortillas,Salsa,Cheese"
T0486,"Coffee,Sugar"
T0487,"Shampoo,Soap,Toothpaste"
T0488,"Frozen Pizza,Chips"
T0489,"Lettuce,Tomatoes,Onions,Carrots"
T0490,"Milk,Cereal,Bananas"
T0491,"Chicken,Rice,Beans"
T0492,"Apples,Bananas,Oranges"
T0493,"Pasta,Tomatoes,Cheese"
T0494,"Ground Beef,Tortillas,Salsa,Cheese"
T0495,"Coffee,Sugar"
T0496,"Shampoo,Soap,Toothpaste"
T0497,"Frozen Pizza,Chips"
T0498,"Lettuce,Tomatoes,Onions,Carrots"
T0499,"Milk,Cereal,Bananas"
T0500,"Chicken,Rice,Beans"
T0501,"Apples,Bananas,Oranges"
T0502,"Pasta,Tomatoes,Cheese"
T0503,"Ground Beef,Tortillas,Salsa,Cheese"
T0504,"Coffee,Sugar"
T0505,"Shampoo,Soap,Toothpaste"
T0506,"Frozen Pizza,Chips"
T0507,"Lettuce,Tomatoes,Onions,Carrots"
T0508,"Milk,Cereal,Bananas"
T0509,"Chicken,Rice,Beans"
T0510,"Apples,Bananas,Oranges"
T0511,"Pasta,Tomatoes,Cheese"
T0512,"Ground Beef,Tortillas,Salsa,Cheese"
T0513,"Coffee,Sugar"
T0514,"Shampoo,Soap,Toothpaste"
T0515,"Frozen Pizza,Chips"
T0516,"Lettuce,Tomatoes,Onions,Carrots"
T0517,"Milk,Cereal,Bananas"
T0518,"Chicken,Rice,Beans"
T0519,"Apples,Bananas,Oranges"
T0520,"Pasta,Tomatoes,Cheese"
T0521,"Ground Beef,Tortillas,Salsa,Cheese"
T0522,"Coffee,Sugar"
T0523,"Shampoo,Soap,Toothpaste"
T0524,"Frozen Pizza,Chips"
T0525,"Lettuce,Tomatoes,Onions,Carrots"
T0526,"Milk,Cereal,Bananas"
T0527,"Chicken,Rice,Beans"
T0528,"Apples,Bananas,Oranges"
T0529,"Pasta,Tomatoes,Cheese"
T0530,"Ground Beef,Tortillas,Salsa,Cheese"
T0531,"Coffee,Sugar"
T0532,"Shampoo,Soap,Toothpaste"
T0533,"Frozen Pizza,Chips"
T0534,"Lettuce,Tomatoes,Onions,Carrots"
T0535,"Milk,Cereal,Bananas"
T0536,"Chicken,Rice,Beans"
T0537,"Apples,Bananas,Oranges"
T0538,"Pasta,Tomatoes,Cheese"
T0539,"Ground Beef,Tortillas,Salsa,Cheese"
T0540,"Coffee,Sugar"
T0541,"Shampoo,Soap,Toothpaste"
T0542,"Frozen Pizza,Chips"
T0543,"Lettuce,Tomatoes,Onions,Carrots"
T0544,"Milk,Cereal,Bananas"
T0545,"Chicken,Rice,Beans"
T0546,"Apples,Bananas,Oranges"
T0547,"Pasta,Tomatoes,Cheese"
T0548,"Ground Beef,Tortillas,Salsa,Cheese"
T0549,"Coffee,Sugar"
T0550,"Shampoo,Soap,Toothpaste"
T0551,"Frozen Pizza,Chips"
T0552,"Lettuce,Tomatoes,Onions,Carrots"
T0553,"Milk,Cereal,Bananas"
T0554,"Chicken,Rice,Beans"
T0555,"Apples,Bananas,Oranges"
T0556,"Pasta,Tomatoes,Cheese"
T0557,"Ground Beef,Tortillas,Salsa,Cheese"
T0558,"Coffee,Sugar"
T0559,"Shampoo,Soap,Toothpaste"
T0560,"Frozen Pizza,Chips"
T0561,"Lettuce,Tomatoes,Onions,Carrots"
T0562,"Milk,Cereal,Bananas"
T0563,"Chicken,Rice,Beans"
T0564,"Apples,Bananas,Oranges"
T0565,"Pasta,Tomatoes,Cheese"
T0566,"Ground Beef,Tortillas,Salsa,Cheese"
T0567,"Coffee,Sugar"
T0568,"Shampoo,Soap,Toothpaste"
T0569,"Frozen Pizza,Chips"
T0570,"Lettuce,Tomatoes,Onions,Carrots"
T0571,"Milk,Cereal,Bananas"
T0572,"Chicken,Rice,Beans"
T0573,"Apples,Bananas,Oranges"
T0574,"Pasta,Tomatoes,Cheese"
T0575,"Ground Beef,Tortillas,Salsa,Cheese"
T0576,"Coffee,Sugar"
T0577,"Shampoo,Soap,Toothpaste"
T0578,"Frozen Pizza,Chips"
T0579,"Lettuce,Tomatoes,Onions,Carrots"
T0580,"Milk,Cereal,Bananas"
T0581,"Chicken,Rice,Beans"
T0582,"Apples,Bananas,Oranges"
T0583,"Pasta,Tomatoes,Cheese"
T0584,"Ground Beef,Tortillas,Salsa,Cheese"
T0585,"Coffee,Sugar"
T0586,"Shampoo,Soap,Toothpaste"
T0587,"Frozen Pizza,Chips"
T0588,"Lettuce,Tomatoes,Onions,Carrots"
T0589,"Milk,Cereal,Bananas"
T0590,"Chicken,Rice,Beans"
T0591,"Apples,Bananas,Oranges"
T0592,"Pasta,Tomatoes,Cheese"
T0593,"Ground Beef,Tortillas,Salsa,Cheese"
T0594,"Coffee,Sugar"
T0595,"Shampoo,Soap,Toothpaste"
T0596,"Frozen Pizza,Chips"
T0597,"Lettuce,Tomatoes,Onions,Carrots"
T0598,"Milk,Cereal,Bananas"
T0599,"Chicken,Rice,Beans"
T0600,"Apples,Bananas,Oranges"
T0601,"Milk,Cereal,Bananas"
T0602,"Chicken,Rice,Beans"
T0603,"Apples,Bananas,Oranges"
T0604,"Pasta,Tomatoes,Cheese"
T0605,"Ground Beef,Tortillas,Salsa,Cheese"
T0606,"Coffee,Sugar"
T0607,"Shampoo,Soap,Toothpaste"
T0608,"Frozen Pizza,Chips"
T0609,"Lettuce,Tomatoes,Onions,Carrots"
T0610,"Milk,Cereal,Bananas,Yogurt"
T0611,"Chicken,Rice,Beans,Spinach"
T0612,"Apples,Bananas,Oranges,Grapes"
T0613,"Pasta,Tomatoes,Cheese,Bread"
T0614,"Ground Beef,Tortillas,Salsa,Cheese,Onions"
T0615,"Coffee,Sugar,Milk"
T0616,"Shampoo,Soap,Toothpaste"
T0617,"Frozen Pizza,Chips,Ice Cream"
T0618,"Lettuce,Tomatoes,Onions,Carrots,Potatoes"
T0619,"Milk,Cereal,Bananas"
T0620,"Chicken,Rice,Beans"
T0621,"Apples,Bananas,Oranges"
T0622,"Pasta,Tomatoes,Cheese"
T0623,"Ground Beef,Tortillas,Salsa,Cheese"
T0624,"Coffee,Sugar"
T0625,"Shampoo,Soap,Toothpaste"
T0626,"Frozen Pizza,Chips"
T0627,"Lettuce,Tomatoes,Onions,Carrots"
T0628,"Milk,Cereal,Bananas"
T0629,"Chicken,Rice,Beans"
T0630,"Apples,Bananas,Oranges"
T0631,"Pasta,Tomatoes,Cheese"
T0632,"Ground Beef,Tortillas,Salsa,Cheese"
